0,-0.039143577218055725
1,-0.03889886662364006
2,-0.03876688703894615
3,-0.03871367499232292
4,-0.0385238341987133
5,-0.03835054114460945
6,-0.038213085383176804
7,-0.03822515159845352
8,-0.0382542721927166
9,-0.03818637877702713
10,-0.03830808401107788
11,-0.03842433542013168
12,-0.038371291011571884
13,-0.03853030130267143
14,-0.03832416236400604
15,-0.03814413771033287
16,-0.037823636084795
17,-0.03765583038330078
18,-0.037996806204319
19,-0.03789764270186424
20,-0.03750387951731682
21,-0.03756522759795189
22,-0.0374007411301136
23,-0.0376233235001564
24,-0.03696132078766823
25,-0.0369207039475441
26,-0.03683571144938469
